id;start_date;end_date;language
1;2020-06-11T12:19:58;2020-06-11T10:10:13;SPANISH
2;2020-06-10T17:10:09;2020-06-11T12:14:34;SPANISH
3;2020-06-11T08:05:28;2020-06-10T18:39:37;FRENCH
4;2020-06-10T23:22:59;2020-06-11T10:54:25;FRENCH
5;2020-06-11T08:53:17;2020-06-11T13:40:16;FRENCH
6;2020-06-11T02:45:38;2020-06-11T14:53:52;FRENCH
7;2020-06-11T04:30:58;2020-06-10T22:21:49;FRENCH
8;2020-06-11T03:27:11;2020-06-11T13:43:19;SPANISH
9;2020-06-11T02:08:20;2020-06-10T22:49:43;SPANISH
10;2020-06-11T10:20:24;2020-06-10T20:54:54;SPANISH
